"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ALICL","2019-04-28","428","462","428","462","10.00 %","32,497.00"
"ALICL","2019-04-29","471","483","451","464","0.43 %","36,945.00"
"ALICL","2019-04-30","465","466","441","441","-4.96 %","13,750.00"
"ALICL","2019-05-02","441","455","435","445","0.91 %","7,985.00"
"ALICL","2019-05-05","440","450","435","435","-2.25 %","3,743.00"
"ALICL","2019-05-06","435","455","420","455","4.60 %","7,198.00"
"ALICL","2019-05-07","462","462","441","442","-2.86 %","4,888.00"
"ALICL","2019-05-08","450","450","434","440","-0.45 %","3,076.00"
"ALICL","2019-05-09","448","455","437","439","-0.23 %","4,461.00"
"ALICL","2019-05-12","441","450","440","441","0.46 %","4,128.00"
"ALICL","2019-05-13","441","448","436","443","0.45 %","5,925.00"
"ALICL","2019-05-14","440","452","440","451","1.81 %","11,199.00"
"ALICL","2019-05-15","450","454","443","443","-1.77 %","3,997.00"
"ALICL","2019-05-16","443","443","433","438","-1.13 %","3,428.00"
"ALICL","2019-05-19","432","434","424","430","-1.83 %","5,712.00"
"ALICL","2019-05-20","435","435","431","431","0.23 %","1,436.00"
"ALICL","2019-05-21","430","432","428","432","0.23 %","2,174.00"
"ALICL","2019-05-22","435","437","424","430","-0.46 %","3,230.00"
"ALICL","2019-05-23","425","430","424","424","-1.40 %","3,080.00"
"ALICL","2019-05-26","432","432","420","420","-0.94 %","3,769.00"
"ALICL","2019-05-27","413","426","413","418","-0.48 %","439.00"
"ALICL","2019-05-28","426","430","420","423","1.20 %","2,795.00"
"ALICL","2019-05-29","430","430","418","420","-0.71 %","5,708.00"
"ALICL","2019-05-30","428","430","416","416","-0.95 %","11,877.00"
"ALICL","2019-06-02","413","414","410","410","-1.44 %","4,552.00"
"ALICL","2019-06-03","418","418","404","410","0.00 %","3,583.00"
"ALICL","2019-06-04","407","408","403","406","-0.98 %","2,621.00"
"ALICL","2019-06-06","400","406","400","401","-1.23 %","2,712.00"
"ALICL","2019-06-10","405","408","396","396","-1.25 %","3,541.00"
"ALICL","2019-06-11","400","400","394","399","0.76 %","2,822.00"
"ALICL","2019-06-12","406","406","391","393","-1.50 %","3,480.00"
"ALICL","2019-06-13","393","399","393","395","0.51 %","2,725.00"
"ALICL","2019-06-16","401","402","390","393","-0.51 %","2,357.00"
"ALICL","2019-06-17","390","395","388","393","0.00 %","2,524.00"
"ALICL","2019-06-18","390","394","390","394","0.25 %","520.00"
"ALICL","2019-06-19","395","395","391","395","0.25 %","339.00"
"ALICL","2019-06-20","391","394","387","388","-1.77 %","4,172.00"
"ALICL","2019-06-23","384","384","380","381","-1.80 %","4,099.00"
"ALICL","2019-06-24","382","383","380","381","0.00 %","1,921.00"
"ALICL","2019-06-25","381","390","380","384","0.79 %","3,923.00"
"ALICL","2019-06-26","378","382","378","382","-0.52 %","1,025.00"
"ALICL","2019-06-27","388","405","381","395","3.40 %","2,451.00"
"ALICL","2019-06-30","388","388","375","380","-3.80 %","2,778.00"
"ALICL","2019-07-01","380","391","373","391","2.89 %","2,598.00"
"ALICL","2019-07-02","384","387","382","387","-1.02 %","1,731.00"
"ALICL","2019-07-03","383","392","380","392","1.29 %","2,877.00"
"ALICL","2019-07-04","392","399","390","390","-0.51 %","3,351.00"
"ALICL","2019-07-07","387","390","386","388","-0.51 %","1,276.00"
"ALICL","2019-07-08","390","390","382","382","-1.55 %","930.00"
"ALICL","2019-07-09","383","385","381","382","0.00 %","1,492.00"
"ALICL","2019-07-10","382","393","382","382","0.00 %","1,015.00"
"ALICL","2019-07-11","382","390","382","386","1.05 %","2,648.00"
"ALICL","2019-07-14","382","387","382","387","0.26 %","1,384.00"
"ALICL","2019-07-15","388","388","384","387","0.00 %","2,624.00"
"ALICL","2019-07-16","406","406","382","383","-1.03 %","2,489.00"
"ALICL","2019-07-17","388","395","385","395","3.13 %","2,255.00"
"ALICL","2019-07-18","390","393","380","382","-3.29 %","7,613.00"
"ALICL","2019-07-21","386","386","377","381","-0.26 %","7,635.00"
"ALICL","2019-07-22","382","382","378","379","-0.52 %","5,707.00"
"ALICL","2019-07-23","381","382","377","378","-0.26 %","6,201.00"
"ALICL","2019-07-24","384","385","377","383","1.32 %","13,058.00"
"ALICL","2019-07-25","380","381","377","378","-1.31 %","3,692.00"
"ALICL","2019-07-28","375","375","369","372","-1.59 %","4,700.00"
"ALICL","2019-07-29","372","372","368","368","-1.08 %","2,396.00"
"ALICL","2019-07-30","369","375","368","368","0.00 %","4,170.00"
"ALICL","2019-07-31","371","373","368","370","0.54 %","7,012.00"
"ALICL","2019-08-01","375","375","368","372","0.54 %","3,560.00"
"ALICL","2019-08-04","372","374","364","364","-2.15 %","5,081.00"
"ALICL","2019-08-05","369","369","362","362","-0.55 %","4,508.00"
"ALICL","2019-08-06","362","365","358","358","-1.10 %","2,934.00"
"ALICL","2019-08-07","357","363","357","360","0.56 %","1,757.00"
"ALICL","2019-08-08","367","367","356","356","-1.11 %","2,239.00"
"ALICL","2019-08-11","350","355","350","352","-1.12 %","3,155.00"
"ALICL","2019-08-12","354","354","346","354","0.57 %","5,121.00"
"ALICL","2019-08-13","358","358","351","351","-0.85 %","169.00"
"ALICL","2019-08-14","354","354","349","349","-0.57 %","2,573.00"
"ALICL","2019-08-15","350","350","345","348","-0.29 %","2,504.00"
"ALICL","2019-08-18","342","349","342","343","-1.44 %","4,727.00"
"ALICL","2019-08-19","337","350","337","349","1.75 %","3,072.00"
"ALICL","2019-08-20","345","345","340","340","-2.58 %","5,976.00"
"ALICL","2019-08-21","340","340","334","338","-0.59 %","5,744.00"
"ALICL","2019-08-22","340","351","337","339","0.30 %","3,725.00"
"ALICL","2019-08-25","334","345","334","345","1.77 %","4,882.00"
"ALICL","2019-08-26","339","339","332","337","-2.32 %","2,472.00"
"ALICL","2019-08-27","343","344","338","342","1.48 %","595.00"
