"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"API","2019-04-28","131","140","130","140","6.06 %","42,335.00"
"API","2019-04-29","138","138","130","137","-2.14 %","22,537.00"
"API","2019-04-30","135","145","133","139","1.46 %","37,885.00"
"API","2019-05-02","141","144","133","139","0.00 %","37,099.00"
"API","2019-05-05","137","139","135","138","-0.72 %","11,187.00"
"API","2019-05-06","137","139","134","138","0.00 %","6,173.00"
"API","2019-05-07","138","140","136","140","1.45 %","5,412.00"
"API","2019-05-08","142","142","133","138","-1.43 %","7,435.00"
"API","2019-05-09","140","140","135","135","-2.17 %","11,153.00"
"API","2019-05-12","134","137","132","137","1.48 %","10,211.00"
"API","2019-05-13","137","143","133","140","2.19 %","34,980.00"
"API","2019-05-14","141","149","141","144","2.86 %","44,008.00"
"API","2019-05-15","144","145","141","144","0.00 %","18,718.00"
"API","2019-05-16","144","150","141","147","2.08 %","47,925.00"
"API","2019-05-19","147","151","145","148","0.68 %","24,404.00"
"API","2019-05-20","146","150","144","148","0.00 %","20,732.00"
"API","2019-05-21","146","160","146","157","6.08 %","101,120.00"
"API","2019-05-22","156","172","156","172","9.55 %","175,271.00"
"API","2019-05-23","175","178","159","163","-5.23 %","70,734.00"
"API","2019-05-26","166","166","153","155","-4.91 %","21,026.00"
"API","2019-05-27","157","157","152","155","0.00 %","9,761.00"
"API","2019-05-28","152","161","150","157","1.29 %","21,629.00"
"API","2019-05-29","154","160","154","158","0.64 %","20,404.00"
"API","2019-05-30","161","165","154","157","-0.63 %","38,805.00"
"API","2019-06-02","154","157","152","157","0.00 %","9,947.00"
"API","2019-06-03","154","154","151","154","-1.91 %","3,759.00"
"API","2019-06-04","152","153","148","152","-1.30 %","15,250.00"
"API","2019-06-06","151","153","148","153","0.66 %","10,594.00"
"API","2019-06-11","150","152","147","149","0.00 %","21,316.00"
"API","2019-06-12","150","150","147","150","0.67 %","16,368.00"
"API","2019-06-13","147","149","145","148","-1.33 %","8,699.00"
"API","2019-06-16","148","148","143","144","-2.70 %","13,935.00"
"API","2019-06-17","143","153","142","149","3.47 %","2,488.00"
"API","2019-06-18","147","150","147","149","0.00 %","3,423.00"
"API","2019-06-19","150","150","147","147","-1.34 %","1,952.00"
"API","2019-06-20","145","149","145","148","0.68 %","4,195.00"
"API","2019-06-23","147","148","144","145","-2.03 %","9,670.00"
"API","2019-06-24","152","152","140","143","-1.38 %","8,536.00"
"API","2019-06-25","142","146","142","146","2.10 %","6,287.00"
"API","2019-06-26","144","146","143","146","0.00 %","2,985.00"
"API","2019-06-27","144","145","142","145","-0.68 %","11,226.00"
"API","2019-06-30","143","145","142","144","-0.69 %","5,362.00"
"API","2019-07-01","142","144","139","144","0.00 %","5,843.00"
"API","2019-07-02","145","146","143","146","1.39 %","3,817.00"
"API","2019-07-03","148","149","139","146","0.00 %","15,632.00"
"API","2019-07-04","145","146","140","144","-1.37 %","19,440.00"
"API","2019-07-07","143","145","141","143","-0.69 %","11,495.00"
"API","2019-07-08","141","144","141","144","0.70 %","14,572.00"
"API","2019-07-09","142","144","140","144","0.00 %","4,573.00"
"API","2019-07-10","143","144","141","144","0.00 %","9,831.00"
"API","2019-07-11","142","143","139","141","-2.08 %","27,923.00"
"API","2019-07-14","139","143","138","138","-2.13 %","10,064.00"
"API","2019-07-15","136","142","136","140","1.45 %","11,110.00"
"API","2019-07-16","147","147","141","143","2.14 %","600.00"
"API","2019-07-17","141","143","140","143","0.00 %","24,942.00"
"API","2019-07-18","143","143","141","141","-1.40 %","12,095.00"
"API","2019-07-21","141","142","139","142","0.71 %","23,063.00"
"API","2019-07-22","142","143","140","142","0.00 %","7,375.00"
"API","2019-07-23","142","143","141","143","0.70 %","8,720.00"
"API","2019-07-24","143","144","139","144","0.70 %","11,565.00"
"API","2019-07-25","142","143","138","139","-3.47 %","16,810.00"
"API","2019-07-28","137","140","135","135","-2.88 %","22,353.00"
"API","2019-07-29","135","140","135","138","2.22 %","11,204.00"
"API","2019-07-30","140","140","136","139","0.72 %","12,433.00"
"API","2019-07-31","137","141","135","140","0.72 %","15,109.00"
"API","2019-08-01","140","140","135","138","-1.43 %","16,150.00"
"API","2019-08-04","137","137","135","137","-0.72 %","5,631.00"
"API","2019-08-05","136","139","134","136","-0.73 %","6,151.00"
"API","2019-08-06","134","136","134","136","0.00 %","5,206.00"
"API","2019-08-07","135","136","131","131","-3.68 %","38,666.00"
"API","2019-08-08","132","134","129","132","0.76 %","36,074.00"
"API","2019-08-11","126","133","126","131","-0.76 %","19,028.00"
"API","2019-08-12","126","133","126","133","1.53 %","8,356.00"
"API","2019-08-13","133","133","130","133","0.00 %","2,239.00"
"API","2019-08-14","133","134","130","131","-1.50 %","5,479.00"
"API","2019-08-15","129","131","129","131","0.00 %","2,701.00"
"API","2019-08-18","133","134","127","130","-0.76 %","10,191.00"
"API","2019-08-19","130","131","128","131","0.77 %","5,715.00"
"API","2019-08-20","131","131","125","131","0.00 %","23,671.00"
"API","2019-08-21","130","130","124","126","-3.82 %","7,810.00"
"API","2019-08-22","125","128","124","128","1.59 %","26,279.00"
"API","2019-08-25","130","130","125","128","0.00 %","2,063.00"
"API","2019-08-26","126","128","125","125","-2.34 %","6,207.00"
"API","2019-08-27","125","128","125","127","1.60 %","2,425.00"
"API","2019-08-28","126","126","122","125","-1.57 %","16,105.00"
"API","2019-08-29","127","127","121","124","-0.80 %","16,820.00"
"API","2019-09-01","122","124","115","121","-2.42 %","31,821.00"
"API","2019-09-02","121","122","115","117","-3.31 %","18,043.00"
"API","2019-09-03","119","121","113","118","0.85 %","34,742.00"
"API","2019-09-04","120","122","113","118","0.00 %","51,099.00"
"API","2019-09-05","118","119","111","116","-1.69 %","71,673.00"
"API","2019-09-08","115","115","111","113","-2.59 %","9,249.00"
"API","2019-09-09","113","114","111","114","0.88 %","15,311.00"
"API","2019-09-10","115","115","111","112","-1.75 %","8,255.00"
"API","2019-09-11","112","115","111","115","2.68 %","8,032.00"
"API","2019-09-12","114","115","110","115","0.00 %","26,119.00"
"API","2019-09-15","113","113","109","110","-4.35 %","9,480.00"
"API","2019-09-16","110","110","108","109","-0.91 %","7,472.00"
"API","2019-09-17","109","119","109","119","9.17 %","15,860.00"
"API","2019-09-18","124","124","114","121","1.68 %","17,181.00"
"API","2019-09-19","121","121","114","117","-3.31 %","10,858.00"
"API","2019-09-22","116","116","112","116","-0.85 %","3,876.00"
"API","2019-09-23","114","115","113","115","-0.86 %","4,556.00"
"API","2019-09-24","116","116","111","115","0.00 %","4,602.00"
"API","2019-09-26","113","115","109","115","0.00 %","14,229.00"
"API","2019-09-29","114","116","112","116","0.87 %","3,698.00"
"API","2019-09-30","114","115","111","114","-1.72 %","5,123.00"
"API","2019-10-01","113","115","112","115","0.88 %","5,407.00"
"API","2019-10-02","113","114","112","114","-0.87 %","9,115.00"
"API","2019-10-03","113","115","112","115","0.88 %","1,610.00"
"API","2019-10-10","113","114","112","112","-2.61 %","2,357.00"
"API","2019-10-14","111","113","109","112","0.00 %","4,022.00"
"API","2019-10-15","110","116","110","116","3.57 %","2,298.00"
"API","2019-10-16","115","116","113","115","-0.86 %","5,407.00"
"API","2019-10-17","115","115","110","113","-1.74 %","43,512.00"
"API","2019-10-21","113","113","107","111","-1.77 %","45,944.00"
"API","2019-10-22","109","111","108","110","-0.90 %","4,246.00"
"API","2019-10-23","110","113","108","112","1.82 %","7,937.00"
"API","2019-10-24","110","113","108","112","0.00 %","5,086.00"
"API","2019-10-31","112","112","108","110","-1.79 %","12,453.00"
"API","2019-11-03","110","110","108","110","0.00 %","6,880.00"
"API","2019-11-04","109","110","108","109","-0.91 %","9,218.00"
"API","2019-11-05","107","109","107","109","0.00 %","9,597.00"
"API","2019-11-06","109","110","106","108","-0.92 %","19,730.00"
"API","2019-11-07","106","108","105","106","-1.85 %","16,957.00"
"API","2019-11-10","106","108","105","107","0.94 %","5,865.00"
"API","2019-11-11","105","110","105","108","0.93 %","11,337.00"
"API","2019-11-12","107","110","104","107","-0.93 %","16,397.00"
"API","2019-11-13","105","106","103","106","-0.93 %","20,874.00"
"API","2019-11-14","106","106","104","105","-0.94 %","2,737.00"
"API","2019-11-17","103","105","102","105","0.00 %","28,882.00"
"API","2019-11-18","104","106","103","106","0.95 %","9,026.00"
"API","2019-11-19","107","107","102","106","0.00 %","6,715.00"
"API","2019-11-20","108","108","101","104","-1.89 %","42,914.00"
"API","2019-11-21","106","107","101","103","-0.96 %","20,869.00"
"API","2019-11-24","103","107","101","107","3.88 %","11,361.00"
