"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CMF1","2019-04-28","9","9.7","9.5","9.7","2.11 %","69,300.00"
"CMF1","2019-04-29","9","9.89","9.88","9.89","1.96 %","11,250.00"
"CMF1","2019-04-30","9","9.71","9.63","9.64","-2.53 %","14,000.00"
"CMF1","2019-05-02","9","9.66","9.46","9.66","0.21 %","2,200.00"
"CMF1","2019-05-05","9","9.99","9.65","9.99","3.42 %","46,800.00"
"CMF1","2019-05-06","9","10","9.81","10","0.10 %","25,100.00"
"CMF1","2019-05-07","9","9.83","9.82","9.82","-1.80 %","9,100.00"
"CMF1","2019-05-08","9","9.7","9.7","9.7","-1.22 %","10,000.00"
"CMF1","2019-05-09","9","9.7","9.52","9.7","0.00 %","4,400.00"
"CMF1","2019-05-12","9","9.7","9.61","9.7","0.00 %","2,200.00"
"CMF1","2019-05-13","9","9.71","9.7","9.7","0.00 %","13,000.00"
"CMF1","2019-05-14","9","9.89","9.69","9.89","1.96 %","8,300.00"
"CMF1","2019-05-15","9","9.99","9.8","9.83","-0.61 %","5,550.00"
"CMF1","2019-05-16","9","9.95","9.75","9.89","0.61 %","29,600.00"
"CMF1","2019-05-19","9","10.08","9.82","10.08","1.92 %","5,800.00"
"CMF1","2019-05-20","9","9.9","9.9","9.9","-1.79 %","1,000.00"
"CMF1","2019-05-21","9","9.8","9.72","9.72","-1.82 %","2,500.00"
"CMF1","2019-05-22","9","9.73","9.7","9.73","0.10 %","7,300.00"
"CMF1","2019-05-23","9","9.93","9.92","9.93","2.05 %","5,200.00"
"CMF1","2019-05-26","9","9.95","9.9","9.9","-0.30 %","4,700.00"
"CMF1","2019-05-27","9","9.18","9.18","9.18","2.00 %","2,500.00"
"CMF1","2019-05-28","9","9.54","9.36","9.54","3.92 %","5,200.00"
"CMF1","2019-05-29","9","9.92","9.73","9.92","3.98 %","5,100.00"
"CMF1","2019-05-30","9","9.95","9.93","9.95","0.30 %","10,300.00"
"CMF1","2019-06-03","9","9.76","9.76","9.76","-1.91 %","400.00"
"CMF1","2019-06-04","9","9.76","9.76","9.76","0.00 %","300.00"
