"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBIME","2019-04-28","327","327","313","315","-2.17 %","66,194.00"
"GBIME","2019-04-29","315","319","310","313","-0.63 %","37,817.00"
"GBIME","2019-04-30","315","321","311","313","0.00 %","49,707.00"
"GBIME","2019-05-02","313","316","308","313","0.00 %","24,251.00"
"GBIME","2019-05-05","310","315","310","310","-0.96 %","43,924.00"
"GBIME","2019-05-06","310","314","308","313","0.97 %","30,421.00"
"GBIME","2019-05-07","313","317","312","312","-0.32 %","20,887.00"
"GBIME","2019-05-08","312","315","312","314","0.64 %","15,311.00"
"GBIME","2019-05-09","314","314","309","310","-1.27 %","33,941.00"
"GBIME","2019-05-12","310","312","307","312","0.65 %","69,577.00"
"GBIME","2019-05-13","310","314","310","310","-0.64 %","21,558.00"
"GBIME","2019-05-14","310","314","309","312","0.65 %","17,184.00"
"GBIME","2019-05-15","312","318","312","314","0.64 %","43,584.00"
"GBIME","2019-05-16","317","319","310","311","-0.96 %","30,283.00"
"GBIME","2019-05-19","310","312","309","310","-0.32 %","24,590.00"
"GBIME","2019-05-20","315","315","309","310","0.00 %","12,290.00"
"GBIME","2019-05-21","308","311","308","309","-0.32 %","22,203.00"
"GBIME","2019-05-22","308","310","308","310","0.32 %","20,296.00"
"GBIME","2019-05-23","311","311","304","304","-1.94 %","38,543.00"
"GBIME","2019-05-26","310","310","305","305","0.33 %","32,579.00"
"GBIME","2019-05-27","305","308","303","307","0.66 %","19,596.00"
"GBIME","2019-05-28","303","310","305","306","-0.33 %","12,909.00"
"GBIME","2019-05-29","310","310","306","306","0.00 %","12,510.00"
"GBIME","2019-05-30","310","320","309","309","0.98 %","79,389.00"
"GBIME","2019-06-02","310","311","305","307","-0.65 %","12,872.00"
"GBIME","2019-06-03","307","309","303","303","-1.30 %","18,349.00"
"GBIME","2019-06-04","303","308","303","304","0.33 %","32,054.00"
"GBIME","2019-06-06","303","304","301","302","-0.66 %","20,199.00"
"GBIME","2019-06-10","303","304","299","301","-0.33 %","50,523.00"
"GBIME","2019-06-11","306","306","298","298","-1.00 %","27,791.00"
"GBIME","2019-06-12","300","301","297","300","0.67 %","14,160.00"
"GBIME","2019-06-13","298","300","297","298","-0.67 %","11,270.00"
"GBIME","2019-06-16","297","300","295","296","-0.67 %","23,759.00"
"GBIME","2019-06-17","300","300","294","296","0.00 %","19,924.00"
"GBIME","2019-06-18","298","300","296","297","0.34 %","6,615.00"
"GBIME","2019-06-19","297","297","295","297","0.00 %","16,688.00"
"GBIME","2019-06-20","298","305","296","300","1.01 %","28,075.00"
"GBIME","2019-06-23","300","301","298","300","0.00 %","42,038.00"
"GBIME","2019-06-24","298","306","298","306","2.00 %","42,428.00"
"GBIME","2019-06-25","308","308","304","306","0.00 %","24,634.00"
"GBIME","2019-06-26","305","305","301","302","-1.31 %","11,742.00"
"GBIME","2019-06-27","303","306","302","304","0.66 %","23,269.00"
"GBIME","2019-06-30","301","303","299","299","-1.64 %","28,909.00"
"GBIME","2019-07-01","298","299","296","297","-0.67 %","27,413.00"
"GBIME","2019-07-02","295","296","292","294","-1.01 %","37,017.00"
"GBIME","2019-07-03","298","298","292","297","1.02 %","50,134.00"
"GBIME","2019-07-04","305","305","293","295","-0.67 %","32,830.00"
"GBIME","2020-01-20","245","277","245","277","9.72 %","929.00"
"GBIME","2020-01-21","282","304.7","282","304","9.75 %","128,791.00"
"GBIME","2020-01-22","319","331","304","305","0.33 %","1,977,590.00"
"GBIME","2020-01-23","310","310","294","296","-2.95 %","522,413.00"
"GBIME","2020-01-26","293","295","289","289","-2.36 %","201,028.00"
"GBIME","2020-01-27","289","297","288","295","2.08 %","180,162.00"
"GBIME","2020-01-28","300","300","289","290","-1.69 %","341,189.00"
"GBIME","2020-01-29","291","292","286","288","-0.69 %","118,782.00"
"GBIME","2020-01-30","290","290","286","289","0.35 %","156,185.00"
"GBIME","2020-02-02","290","295","289","290","0.35 %","167,316.00"
"GBIME","2020-02-03","295","295","288","289","-0.34 %","173,488.00"
