"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBL","2019-04-28","318","328","318","325","3.17 %","715,538.00"
"NBL","2019-04-29","325","326","318","321","-1.23 %","351,667.00"
"NBL","2019-04-30","324","324","315","318","-0.93 %","294,267.00"
"NBL","2019-05-02","320","321","311","314","-1.26 %","150,302.00"
"NBL","2019-05-05","316","316","309","310","-1.27 %","202,122.00"
"NBL","2019-05-06","309","315","309","315","1.61 %","123,895.00"
"NBL","2019-05-07","317","317","311","311","-1.27 %","141,441.00"
"NBL","2019-05-08","314","314","311","313","0.64 %","30,364.00"
"NBL","2019-05-09","310","312","309","312","-0.32 %","79,325.00"
"NBL","2019-05-12","311","312","308","310","-0.64 %","87,036.00"
"NBL","2019-05-13","310","311","309","309","-0.32 %","121,099.00"
"NBL","2019-05-14","310","315","309","313","1.29 %","346,806.00"
"NBL","2019-05-15","312","322","312","316","0.96 %","415,548.00"
"NBL","2019-05-16","321","321","317","319","0.95 %","213,891.00"
"NBL","2019-05-19","320","338","319","336","5.33 %","686,098.00"
"NBL","2019-05-20","340","348","337","338","0.60 %","677,987.00"
"NBL","2019-05-21","339","340","330","333","-1.48 %","259,426.00"
"NBL","2019-05-22","335","343","333","343","3.00 %","206,344.00"
"NBL","2019-05-23","345","346","337","340","-0.87 %","181,744.00"
"NBL","2019-05-26","341","342","335","336","-1.18 %","143,892.00"
"NBL","2019-05-27","338","339","333","336","0.00 %","77,686.00"
"NBL","2019-05-28","352","352","333","335","-0.30 %","178,454.00"
"NBL","2019-05-29","338","339","335","336","0.30 %","111,502.00"
"NBL","2019-05-30","346","354","337","339","0.89 %","483,680.00"
"NBL","2019-06-02","337","339","333","335","-1.18 %","132,560.00"
"NBL","2019-06-03","335","335","330","331","-1.19 %","107,787.00"
"NBL","2019-06-04","330","335","328","330","-0.30 %","147,620.00"
"NBL","2019-06-06","330","334","326","326","-1.21 %","113,091.00"
"NBL","2019-06-10","326","329","323","325","-0.31 %","78,576.00"
"NBL","2019-06-11","326","329","324","327","0.62 %","76,476.00"
"NBL","2019-06-12","329","329","324","326","-0.31 %","36,530.00"
"NBL","2019-06-13","326","329","323","325","-0.31 %","49,952.00"
"NBL","2019-06-16","325","326","322","324","-0.31 %","91,288.00"
"NBL","2019-06-17","324","325","320","324","0.00 %","102,416.00"
"NBL","2019-06-18","323","325","321","323","-0.31 %","58,818.00"
"NBL","2019-06-19","323","323","321","321","-0.62 %","55,895.00"
"NBL","2019-06-20","323","327","322","325","1.25 %","74,143.00"
"NBL","2019-06-23","323","325","321","321","-1.23 %","69,340.00"
"NBL","2019-06-24","322","324","322","324","0.93 %","62,030.00"
"NBL","2019-06-25","328","328","324","326","0.62 %","55,178.00"
"NBL","2019-06-26","325","332","325","331","1.53 %","127,349.00"
"NBL","2019-06-27","333","336","331","335","1.21 %","169,434.00"
"NBL","2019-06-30","335","341","332","333","-0.60 %","190,259.00"
"NBL","2019-07-01","331","333","329","333","0.00 %","79,115.00"
"NBL","2019-07-02","333","337","331","337","1.20 %","73,591.00"
"NBL","2019-07-03","339","341","335","340","0.89 %","134,166.00"
"NBL","2019-07-04","340","341","336","337","-0.88 %","139,505.00"
"NBL","2019-07-07","337","340","337","339","0.59 %","121,328.00"
