"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLO","2019-07-25","202","210","202","210","8.81 %","73.00"
"NLO","2019-07-28","214","214","214","214","1.90 %","19.00"
"NLO","2019-07-29","217","214","214","214","0.00 %","8.00"
"NLO","2020-02-23","187","187","187","187","1.63 %","3,500.00"
"NLO","2020-09-22","190","190","190","190","1.60 %","80.00"
"NLO","2020-10-18","199","199","199","199","4.74 %","10.00"
"NLO","2020-11-04","208","208","208","208","4.52 %","10.00"
"NLO","2020-11-05","218","218","218","218","4.81 %","10.00"
"NLO","2020-11-23","228","228","228","228","0.05 %","10.00"
"NLO","2020-12-02","238","238","238","238","0.04 %","10.00"
"NLO","2020-12-09","249","249","249","249","0.05 %","24.00"
"NLO","2020-12-28","261","261","261","261","0.05 %","10.00"
"NLO","2021-02-09","274","274","274","274","0.05 %","10.00"
"NLO","2021-07-05","316","316","316","316","4.98 %","10.00"
"NLO","2022-03-06","247.8","252.7","247.8","252.7","3.99 %","255.00"
"NLO","2022-05-10","252.7","252.7","252.7","252.7","0.00 %","6.00"
"NLO","2022-05-11","252.7","252.7","252.7","252.7","0.00 %","3.00"
"NLO","2022-09-04","252.7","252.7","252.7","252.7","0.00 %","8.00"
"NLO","2022-09-13","257.7","257.7","257.7","257.7","1.98 %","36.00"
"NLO","2022-09-16","262.8","262.8","262.8","262.8","1.98 %","10.00"
"NLO","2022-09-18","268","273.3","268","273.3","4.00 %","20.00"
"NLO","2022-09-29","278.7","284.2","278.7","284.2","3.99 %","91.00"
"NLO","2022-11-28","231.9","241.2","231.9","241.2","6.09 %","188.00"
"NLO","2022-12-11","241.2","241.2","241.2","241.2","0.00 %","9.00"
"NLO","2023-02-01","246","246","246","246","1.99 %","10.00"
"NLO","2023-04-06","250.9","255.9","250.9","255.9","4.02 %","46.00"
"NLO","2023-05-23","255.9","255.9","255.9","255.9","0.00 %","1.00"
"NLO","2023-06-11","255.9","255.9","255.9","255.9","0.00 %","1.00"
"NLO","2023-07-16","261","261","261","261","1.99 %","15.00"
"NLO","2023-07-24","266.2","266.2","266.2","266.2","1.99 %","15.00"
"NLO","2023-08-07","266.2","266.2","266.2","266.2","0.00 %","23.00"
"NLO","2023-09-19","271.5","271.5","271.5","271.5","1.99 %","10.00"
"NLO","2023-10-12","276.9","282.4","276.9","282.4","4.01 %","20.00"
"NLO","2024-01-23","230.4","248.5","230.4","248.5","9.99 %","57.00"
"NLO","2024-02-15","248.5","248.5","248.5","248.5","0.00 %","115.00"
"NLO","2024-02-20","248.5","253.4","248.5","253.4","1.97 %","79.00"
"NLO","2024-03-26","253.4","253.4","253.4","253.4","0.00 %","45.00"
