"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PIC","2019-04-28","1050","1136","1043","1130","9.39 %","23,103.00"
"PIC","2019-04-29","1150","1151","1079","1100","-2.65 %","14,090.00"
"PIC","2019-04-30","1120","1120","1070","1076","-2.18 %","4,310.00"
"PIC","2019-05-02","1056","1100","1056","1100","2.23 %","5,619.00"
"PIC","2019-05-05","1100","1121","1082","1109","0.82 %","10,171.00"
"PIC","2019-05-06","1105","1105","1093","1105","-0.36 %","2,830.00"
"PIC","2019-05-07","1110","1123","1100","1113","0.72 %","5,975.00"
"PIC","2019-05-08","1112","1123","1103","1115","0.18 %","4,554.00"
"PIC","2019-05-09","1129","1177","1127","1165","4.48 %","25,508.00"
"PIC","2019-05-12","1187","1281","1187","1280","9.87 %","54,215.00"
"PIC","2019-05-13","1310","1310","1216","1240","-3.12 %","30,317.00"
"PIC","2019-05-14","1225","1248","1225","1230","-0.81 %","12,688.00"
"PIC","2019-05-15","1220","1229","1196","1200","-2.44 %","17,381.00"
"PIC","2019-05-16","1224","1266","1210","1240","3.33 %","28,944.00"
"PIC","2019-05-19","1249","1249","1205","1225","-1.21 %","10,093.00"
"PIC","2019-05-20","1207","1220","1190","1199","-2.12 %","14,126.00"
"PIC","2019-05-21","1252","1252","1184","1208","0.75 %","8,791.00"
"PIC","2019-05-22","1215","1232","1200","1200","-0.66 %","7,326.00"
"PIC","2019-05-23","1224","1224","1186","1201","0.08 %","6,996.00"
"PIC","2019-05-26","1200","1210","1191","1193","-0.67 %","4,142.00"
"PIC","2019-05-27","1170","1195","1170","1189","-0.34 %","4,673.00"
"PIC","2019-05-28","1208","1208","1180","1190","0.08 %","3,032.00"
"PIC","2019-05-29","1167","1205","1186","1189","-0.08 %","5,078.00"
"PIC","2019-05-30","1212","1224","1175","1190","0.08 %","10,251.00"
"PIC","2019-06-02","1249","1249","1160","1173","-1.43 %","108,735.00"
"PIC","2019-06-03","1175","1175","1136","1140","-2.81 %","28,795.00"
"PIC","2019-06-04","1118","1155","1116","1129","-0.96 %","13,656.00"
"PIC","2019-06-06","1129","1148","1120","1121","-0.71 %","5,675.00"
"PIC","2019-06-10","1121","1130","1086","1088","-2.94 %","8,802.00"
"PIC","2019-06-11","1088","1090","1052","1055","-3.03 %","9,474.00"
"PIC","2019-06-12","1050","1057","1020","1025","-2.84 %","8,968.00"
"PIC","2019-06-13","1020","1036","1015","1022","-0.29 %","10,199.00"
"PIC","2019-06-16","1015","1020","978","980","-4.11 %","12,231.00"
"PIC","2019-06-17","980","1026","975","1014","3.47 %","6,836.00"
"PIC","2019-06-18","1034","1034","1000","1002","-1.18 %","2,092.00"
"PIC","2019-06-19","1052","1052","1000","1005","0.30 %","1,977.00"
"PIC","2019-06-20","1000","1020","1000","1009","0.40 %","3,629.00"
"PIC","2019-06-23","1000","1008","995","995","-1.39 %","4,033.00"
"PIC","2019-06-24","995","1005","995","999","0.40 %","2,858.00"
"PIC","2019-06-25","1000","1005","993","997","-0.20 %","1,655.00"
"PIC","2019-06-26","1005","1010","982","983","-1.40 %","14,570.00"
"PIC","2019-06-27","990","991","980","980","-0.31 %","7,870.00"
"PIC","2019-06-30","999","999","950","957","-2.35 %","8,306.00"
"PIC","2019-07-01","957","957","934","950","-0.73 %","8,721.00"
"PIC","2019-07-02","944","949","932","941","-0.95 %","6,092.00"
"PIC","2019-07-03","987","987","945","960","2.02 %","7,765.00"
"PIC","2019-07-04","965","978","931","944","-1.67 %","32,853.00"
