"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBI","2019-04-28","516","520","500","501","-1.38 %","18,024.00"
"SBI","2019-04-29","505","505","490","496","-1.00 %","10,964.00"
"SBI","2019-04-30","500","500","481","481","-3.02 %","9,063.00"
"SBI","2019-05-02","480","492","475","485","0.83 %","7,658.00"
"SBI","2019-05-05","477","484","476","484","-0.21 %","10,515.00"
"SBI","2019-05-06","485","500","476","497","2.69 %","13,280.00"
"SBI","2019-05-07","506","506","483","488","-1.81 %","6,141.00"
"SBI","2019-05-08","488","496","480","492","0.82 %","11,125.00"
"SBI","2019-05-09","484","487","483","483","-1.83 %","7,530.00"
"SBI","2019-05-12","474","488","474","487","0.83 %","14,995.00"
"SBI","2019-05-13","482","490","482","488","0.21 %","2,938.00"
"SBI","2019-05-14","488","495","485","485","-0.61 %","7,362.00"
"SBI","2019-05-15","494","503","491","497","2.47 %","28,909.00"
"SBI","2019-05-16","501","501","489","489","-1.61 %","9,503.00"
"SBI","2019-05-19","483","492","482","482","-1.43 %","11,199.00"
"SBI","2019-05-20","482","485","480","480","-0.41 %","7,962.00"
"SBI","2019-05-21","480","487","480","480","0.00 %","10,509.00"
"SBI","2019-05-22","484","485","476","476","-0.83 %","5,506.00"
"SBI","2019-05-23","480","489","478","482","1.26 %","13,628.00"
"SBI","2019-05-26","480","487","472","474","-1.66 %","7,066.00"
"SBI","2019-05-27","475","478","470","473","-0.21 %","12,649.00"
"SBI","2019-05-28","475","480","470","478","1.06 %","4,543.00"
"SBI","2019-05-29","480","484","471","480","0.42 %","16,477.00"
"SBI","2019-05-30","489","500","482","488","1.67 %","23,759.00"
"SBI","2019-06-02","485","487","481","482","-1.23 %","5,117.00"
"SBI","2019-06-03","482","482","472","472","-2.07 %","4,953.00"
"SBI","2019-06-04","471","477","471","475","0.64 %","14,369.00"
"SBI","2019-06-06","484","484","472","472","-0.63 %","11,232.00"
"SBI","2019-06-10","470","472","465","470","-0.42 %","12,681.00"
"SBI","2019-06-11","468","474","465","467","-0.64 %","7,756.00"
"SBI","2019-06-12","466","472","462","466","-0.21 %","17,999.00"
"SBI","2019-06-13","465","466","462","464","-0.43 %","14,022.00"
"SBI","2019-06-16","464","465","462","462","-0.43 %","7,096.00"
"SBI","2019-06-17","463","468","461","463","0.22 %","11,133.00"
"SBI","2019-06-18","461","466","460","460","-0.65 %","9,113.00"
"SBI","2019-06-19","459","461","458","461","0.22 %","3,074.00"
"SBI","2019-06-20","464","465","463","463","0.43 %","6,687.00"
"SBI","2019-06-23","463","465","462","464","0.22 %","3,172.00"
"SBI","2019-06-24","464","465","460","465","0.22 %","18,641.00"
"SBI","2019-06-25","467","468","464","465","0.00 %","4,966.00"
"SBI","2019-06-26","465","465","458","462","-0.65 %","5,778.00"
"SBI","2019-06-27","458","464","458","462","0.00 %","5,543.00"
"SBI","2019-06-30","462","465","460","465","0.65 %","7,096.00"
"SBI","2019-07-01","461","465","461","464","-0.22 %","6,370.00"
"SBI","2019-07-02","460","466","460","466","0.43 %","8,287.00"
"SBI","2019-07-03","466","480","463","475","1.93 %","7,617.00"
"SBI","2019-07-04","471","472","467","467","-1.68 %","7,806.00"
"SBI","2019-07-07","464","467","463","466","-0.21 %","6,239.00"
"SBI","2019-07-08","463","465","460","462","-0.86 %","5,234.00"
"SBI","2019-07-09","460","462","458","462","0.00 %","6,693.00"
"SBI","2019-07-10","460","465","458","460","-0.43 %","9,928.00"
"SBI","2019-07-11","460","462","459","459","-0.22 %","6,219.00"
"SBI","2019-07-14","460","464","460","461","0.44 %","4,191.00"
"SBI","2019-07-15","469","469","463","464","0.65 %","4,202.00"
"SBI","2019-07-16","464","469","463","469","1.08 %","2,622.00"
"SBI","2019-07-17","470","477","470","473","0.85 %","4,849.00"
"SBI","2019-07-18","473","478","471","473","0.00 %","6,845.00"
"SBI","2019-07-21","475","475","470","470","-0.63 %","5,500.00"
"SBI","2019-07-22","472","476","470","475","1.06 %","5,825.00"
"SBI","2019-07-23","470","475","470","473","-0.42 %","1,979.00"
"SBI","2019-07-24","472","484","472","479","1.27 %","9,232.00"
"SBI","2019-07-25","475","480","470","470","-1.88 %","10,784.00"
"SBI","2019-07-28","461","465","460","460","-2.13 %","9,954.00"
"SBI","2019-07-29","460","466","460","465","1.09 %","2,360.00"
"SBI","2019-07-30","465","470","465","470","1.08 %","3,580.00"
"SBI","2019-07-31","468","470","463","465","-1.06 %","8,535.00"
"SBI","2019-08-01","467","468","461","464","-0.22 %","6,620.00"
"SBI","2019-08-04","465","465","462","464","0.00 %","2,842.00"
"SBI","2019-08-05","466","466","461","464","0.00 %","5,756.00"
"SBI","2019-08-06","464","469","459","459","-1.08 %","14,529.00"
"SBI","2019-08-07","457","462","456","458","-0.22 %","8,984.00"
"SBI","2019-08-08","460","460","450","450","-1.75 %","4,930.00"
"SBI","2019-08-11","451","455","440","444","-1.33 %","6,344.00"
"SBI","2019-08-12","452","461","445","447","0.68 %","2,552.00"
"SBI","2019-08-13","445","445","442","445","-0.45 %","7,255.00"
"SBI","2019-08-14","445","447","443","443","-0.45 %","6,022.00"
"SBI","2019-08-15","440","446","440","445","0.45 %","2,810.00"
"SBI","2019-08-18","445","445","439","440","-1.12 %","18,915.00"
"SBI","2019-08-19","440","456","439","446","1.36 %","5,895.00"
"SBI","2019-08-20","439","454","439","442","-0.90 %","2,123.00"
"SBI","2019-08-21","442","448","442","445","0.68 %","3,594.00"
"SBI","2019-08-22","450","451","445","445","0.00 %","5,451.00"
"SBI","2019-08-25","450","453","443","453","1.80 %","11,045.00"
"SBI","2019-08-26","446","448","443","448","-1.10 %","3,486.00"
"SBI","2019-08-27","442","450","442","450","0.45 %","7,592.00"
"SBI","2019-08-28","448","449","444","445","-1.11 %","6,177.00"
"SBI","2019-08-29","442","445","440","445","0.00 %","5,389.00"
"SBI","2019-09-01","446","449","440","440","-1.12 %","4,241.00"
"SBI","2019-09-02","437","442","432","432","-1.82 %","4,586.00"
"SBI","2019-09-03","432","447","424","440","1.85 %","5,672.00"
"SBI","2019-09-04","444","448","444","445","1.14 %","3,715.00"
"SBI","2019-09-05","440","450","440","444","-0.22 %","2,971.00"
"SBI","2019-09-08","450","444","428","432","-2.70 %","3,164.00"
"SBI","2019-09-09","426","432","420","422","-2.31 %","14,792.00"
"SBI","2019-09-10","425","430","420","426","0.95 %","4,264.00"
"SBI","2019-09-11","427","434","426","426","0.00 %","1,731.00"
"SBI","2019-09-12","429","429","424","425","-0.23 %","1,843.00"
"SBI","2019-09-15","419","425","417","417","-1.88 %","7,658.00"
"SBI","2019-09-16","413","419","410","410","-1.68 %","6,157.00"
"SBI","2019-09-17","418","423","414","415","1.22 %","4,229.00"
"SBI","2019-09-18","422","428","403","428","3.13 %","15,597.00"
"SBI","2019-09-19","429","429","420","420","-1.87 %","4,473.00"
"SBI","2019-09-22","415","415","409","411","-2.14 %","3,485.00"
"SBI","2019-09-23","410","411","405","406","-1.22 %","5,483.00"
"SBI","2019-09-24","402","409","401","403","-0.74 %","5,453.00"
"SBI","2019-09-26","406","406","403","405","0.00 %","2,324.00"
"SBI","2019-09-29","402","405","402","403","-0.49 %","1,324.00"
"SBI","2019-09-30","402","402","390","396","-1.74 %","4,841.00"
"SBI","2019-10-01","398","410","395","405","2.27 %","6,715.00"
"SBI","2019-10-02","413","413","405","408","0.74 %","4,519.00"
"SBI","2019-10-03","408","410","408","409","0.25 %","4,892.00"
