"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SEF","2019-04-28","9","9.9","9.6","9.9","-0.60 %","11,000.00"
"SEF","2019-04-29","9","9.9","9.71","9.71","-1.92 %","30,800.00"
"SEF","2019-04-30","9","9.94","9.75","9.76","0.51 %","13,000.00"
"SEF","2019-05-05","9","9.8","9.61","9.8","0.41 %","45,550.00"
"SEF","2019-05-06","9","9.9","9.71","9.8","0.00 %","7,000.00"
"SEF","2019-05-07","9","9.98","9.8","9.81","0.10 %","32,400.00"
"SEF","2019-05-08","9","9.8","9.75","9.77","-0.41 %","22,600.00"
"SEF","2019-05-09","9","9.96","9.77","9.77","0.00 %","7,100.00"
"SEF","2019-05-12","9","9.6","9.58","9.6","-1.74 %","32,150.00"
"SEF","2019-05-13","9","9.75","9.56","9.62","0.21 %","5,000.00"
"SEF","2019-05-14","9","9.8","9.74","9.75","1.35 %","12,100.00"
"SEF","2019-05-15","9","9.9","9.71","9.77","0.21 %","36,300.00"
"SEF","2019-05-16","9","9.96","9.77","9.77","0.00 %","16,100.00"
"SEF","2019-05-19","9","9.79","9.67","9.67","-1.02 %","87,600.00"
"SEF","2019-05-20","9","9.7","9.52","9.56","-1.14 %","32,000.00"
"SEF","2019-05-21","9","10.07","9.52","10.07","5.33 %","65,300.00"
"SEF","2019-05-22","10","10","9.81","9.81","-2.58 %","7,800.00"
"SEF","2019-05-23","9","9.8","9.7","9.8","-0.10 %","4,500.00"
"SEF","2019-05-26","9","9.9","9.76","9.81","0.10 %","24,100.00"
"SEF","2019-05-27","9","9.54","9","9.54","6.00 %","10,000.00"
"SEF","2019-05-28","9","9.75","9.41","9.75","2.20 %","26,500.00"
"SEF","2019-05-29","9","9.93","9.6","9.93","1.85 %","22,000.00"
"SEF","2019-05-30","9","10.01","9.76","9.76","-1.71 %","41,900.00"
"SEF","2019-06-03","9","9.75","9.6","9.7","-0.61 %","59,500.00"
"SEF","2019-06-04","9","9.71","9.6","9.61","-0.93 %","69,500.00"
"SEF","2019-06-06","9","9.68","9.5","9.68","0.73 %","33,100.00"
"SEF","2019-06-11","9","9.9","9.71","9.71","-1.42 %","10,100.00"
"SEF","2019-06-12","9","9.9","9.52","9.71","0.00 %","33,400.00"
"SEF","2019-06-16","9","9.6","9.52","9.57","-1.44 %","12,700.00"
"SEF","2019-06-17","9","9.59","9.52","9.59","0.21 %","6,500.00"
"SEF","2019-06-18","9","9.71","9.56","9.7","1.15 %","47,900.00"
"SEF","2019-06-19","9","9.61","9.61","9.61","-0.93 %","1,500.00"
"SEF","2019-06-20","9","9.6","9.6","9.6","-0.10 %","7,300.00"
"SEF","2019-06-23","9","9.6","9.54","9.57","-0.31 %","5,300.00"
"SEF","2019-06-24","9","9.76","9.6","9.76","1.99 %","41,700.00"
"SEF","2019-06-25","9","9.7","9.63","9.63","-1.33 %","1,600.00"
"SEF","2019-06-26","9","9.7","9.65","9.66","0.31 %","8,300.00"
"SEF","2019-06-27","9","9.61","9.5","9.61","-0.52 %","35,100.00"
"SEF","2019-06-30","9","9.78","9.52","9.78","1.77 %","56,100.00"
"SEF","2019-07-01","9","9.7","9.65","9.65","-1.33 %","55,500.00"
"SEF","2019-07-02","9","9.7","9.64","9.64","-0.10 %","6,000.00"
"SEF","2019-07-03","9","9.65","9.62","9.62","-0.21 %","21,500.00"
"SEF","2019-07-04","9","9.81","9.65","9.81","1.98 %","4,300.00"
"SEF","2019-07-07","9","9.65","9.65","9.65","-1.63 %","4,300.00"
"SEF","2019-07-08","9","9.7","9.47","9.7","0.52 %","37,390.00"
"SEF","2019-07-09","9","9.8","9.61","9.7","0.00 %","4,100.00"
"SEF","2019-07-10","9","9.8","9.56","9.8","1.03 %","13,000.00"
"SEF","2019-07-11","9","9.8","9.75","9.8","0.00 %","7,400.00"
"SEF","2019-07-15","9","9.85","9.8","9.82","0.20 %","60,800.00"
"SEF","2019-07-16","10","10.09","9.81","10.09","2.75 %","21,000.00"
"SEF","2019-07-17","9","9.89","9.75","9.75","-3.37 %","4,300.00"
"SEF","2019-07-18","9","9.93","9.75","9.93","1.85 %","10,000.00"
"SEF","2019-07-21","9","9.95","9.95","9.95","0.20 %","400.00"
"SEF","2019-07-22","9","9.82","9.8","9.8","-1.51 %","7,600.00"
"SEF","2019-07-23","9","10.29","9.99","10.25","4.59 %","113,500.00"
"SEF","2019-07-24","10","10.2","10.1","10.2","-0.49 %","14,700.00"
"SEF","2019-07-25","10","10.2","10.1","10.2","0.00 %","4,100.00"
