"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TRH","2019-04-28","238","250","238","238","1.71 %","3,120.00"
"TRH","2019-04-29","235","246","235","246","3.36 %","380.00"
"TRH","2019-04-30","242","243","238","240","-2.44 %","2,510.00"
"TRH","2019-05-02","240","244","236","244","1.67 %","3,013.00"
"TRH","2019-05-05","240","247","237","237","-2.87 %","720.00"
"TRH","2019-05-06","241","241","241","241","1.69 %","10.00"
"TRH","2019-05-07","245","258","245","249","3.32 %","5,870.00"
"TRH","2019-05-08","251","251","236","237","-4.82 %","6,420.00"
"TRH","2019-05-09","241","252","238","245","3.38 %","950.00"
"TRH","2019-05-12","249","255","240","251","2.45 %","5,410.00"
"TRH","2019-05-13","246","255","243","250","-0.40 %","6,212.00"
"TRH","2019-05-14","255","255","245","253","1.20 %","2,022.00"
"TRH","2019-05-15","253","270","250","255","0.79 %","17,502.00"
"TRH","2019-06-02","260","280","260","280","9.80 %","39,604.00"
"TRH","2019-06-03","285","308","285","301","7.50 %","103,598.00"
"TRH","2019-06-04","301","327","297","322","6.98 %","76,718.00"
"TRH","2019-06-06","324","339","319","327","1.55 %","93,549.00"
"TRH","2019-06-10","327","327","303","303","-7.34 %","26,639.00"
"TRH","2019-06-11","318","318","307","310","2.31 %","25,214.00"
"TRH","2019-06-12","308","319","306","318","2.58 %","24,339.00"
"TRH","2019-06-13","312","328","311","324","1.89 %","24,872.00"
"TRH","2019-06-16","318","328","317","319","-1.54 %","26,745.00"
"TRH","2019-06-17","322","322","316","321","0.63 %","21,910.00"
"TRH","2019-06-18","305","314","295","312","-2.80 %","138,753.00"
"TRH","2019-06-19","310","321","307","320","2.56 %","42,602.00"
"TRH","2019-06-20","315","323","309","322","0.62 %","9,515.00"
"TRH","2019-06-23","316","316","311","313","-2.80 %","4,900.00"
"TRH","2019-06-24","317","317","311","315","0.64 %","10,700.00"
"TRH","2019-06-25","319","319","314","314","-0.32 %","3,850.00"
"TRH","2019-06-26","310","316","310","311","-0.96 %","4,530.00"
"TRH","2019-06-27","311","311","307","309","-0.64 %","11,269.00"
"TRH","2019-06-30","309","309","302","304","-1.62 %","9,110.00"
"TRH","2019-07-01","304","309","301","308","1.32 %","4,261.00"
"TRH","2019-07-02","308","312","307","311","0.97 %","6,927.00"
"TRH","2019-07-03","313","316","311","314","0.96 %","10,020.00"
"TRH","2019-07-04","311","311","310","311","-0.96 %","11,830.00"
"TRH","2019-07-07","316","323","311","315","1.29 %","9,060.00"
"TRH","2019-07-08","315","319","313","316","0.32 %","7,770.00"
"TRH","2019-07-09","315","317","312","317","0.32 %","21,154.00"
"TRH","2019-07-10","315","315","312","312","-1.58 %","1,865.00"
"TRH","2019-07-11","313","314","311","311","-0.32 %","10,936.00"
"TRH","2019-07-14","316","316","314","314","0.96 %","3,101.00"
"TRH","2019-07-15","314","318","313","316","0.64 %","1,850.00"
"TRH","2019-07-17","315","321","314","319","0.95 %","2,928.00"
"TRH","2019-07-18","316","317","315","317","-0.63 %","1,150.00"
"TRH","2019-07-21","312","317","311","317","0.00 %","1,790.00"
"TRH","2019-07-22","316","319","314","319","0.63 %","4,100.00"
"TRH","2019-07-23","324","324","315","319","0.00 %","4,107.00"
"TRH","2019-07-24","324","324","314","321","0.63 %","10,510.00"
